scenario_id,architecture_type,runs,expected_action,modal_recommended_action,decision_accuracy,mean_exact_hazard_f1,mean_semantic_hazard_f1,mean_hazard_false_positive_count,mean_hazard_false_negative_count,mean_canonical_hazard_coverage,mean_plausible_noncanonical_hazard_count,mean_spurious_hazard_count,mean_latency_seconds,mean_token_usage,mean_confidence_score
MR-078,multi_agent_orchestration,5,request_human_review,pause,0.0,0.0,0.244,4.2,2.0,0.333,2.4,1.8,10.508,2030.8,0.85
MR-079,multi_agent_orchestration,5,request_human_review,pause,0.0,0.0,0.0,5.2,3.0,0.0,1.0,4.2,11.431,1983.4,0.85
MR-080,multi_agent_orchestration,5,request_human_review,pause,0.0,0.0,0.0,5.0,3.0,0.0,2.8,2.2,13.315,1982.2,0.85
MR-081,multi_agent_orchestration,5,request_human_review,pause,0.2,0.0,0.257,3.8,2.0,0.333,1.0,2.8,15.503,2120.6,0.85
MR-082,multi_agent_orchestration,5,request_human_review,pause,0.2,0.0,0.0,6.0,3.0,0.0,4.2,1.8,10.009,1927.2,0.85
MR-083,multi_agent_orchestration,5,request_human_review,pause,0.2,0.0,0.279,3.2,2.0,0.333,2.2,1.0,15.521,1883.6,0.85
MR-084,multi_agent_orchestration,5,request_human_review,pause,0.0,0.0,0.244,4.2,2.0,0.333,3.0,1.2,9.991,1864.0,0.85
MR-085,multi_agent_orchestration,5,request_human_review,request_human_review,0.8,0.0,0.0,5.6,3.0,0.0,2.6,3.0,19.703,2107.2,0.85
MR-086,multi_agent_orchestration,5,request_human_review,pause,0.0,0.0,0.0,6.2,3.0,0.0,3.0,3.2,10.162,1898.0,0.85
MR-087,multi_agent_orchestration,5,request_human_review,request_human_review,0.8,0.0,0.16,5.8,2.2,0.266,0.0,5.8,13.693,1937.0,0.85
MR-088,multi_agent_orchestration,5,request_human_review,pause,0.0,0.0,0.0,5.2,3.0,0.0,3.0,2.2,10.034,1884.4,0.844
MR-089,multi_agent_orchestration,5,request_human_review,request_human_review,1.0,0.0,0.25,4.0,2.0,0.333,2.0,2.0,10.97,2024.8,0.85
MR-090,multi_agent_orchestration,5,request_human_review,pause,0.0,0.0,0.25,4.0,2.0,0.333,2.0,2.0,12.094,2072.0,0.85
MR-091,multi_agent_orchestration,5,request_human_review,pause,0.4,0.0,0.0,5.6,3.0,0.0,1.2,4.4,11.902,2037.4,0.85
MR-092,multi_agent_orchestration,5,request_human_review,pause,0.0,0.0,0.0,5.0,3.0,0.0,2.6,2.4,12.518,2014.4,0.85
MR-093,multi_agent_orchestration,5,request_human_review,request_human_review,0.6,0.0,0.157,4.6,2.4,0.2,1.0,3.6,15.918,2017.4,0.85
MR-094,multi_agent_orchestration,5,request_human_review,pause,0.2,0.0,0.0,5.0,3.0,0.0,3.8,1.2,10.597,1990.6,0.85
MR-095,multi_agent_orchestration,5,request_human_review,pause,0.0,0.0,0.272,3.4,2.0,0.333,2.0,1.4,11.144,1906.8,0.856
MR-096,multi_agent_orchestration,5,request_human_review,pause,0.0,0.0,0.222,5.0,2.0,0.333,3.0,2.0,10.437,1881.4,0.85
MR-097,multi_agent_orchestration,5,request_human_review,request_human_review,1.0,0.0,0.0,5.4,3.0,0.0,2.4,3.0,12.034,2084.2,0.85
MR-098,multi_agent_orchestration,5,request_human_review,pause,0.0,0.0,0.0,6.2,3.0,0.0,2.8,3.4,10.268,1955.8,0.85
MR-099,multi_agent_orchestration,5,request_human_review,pause,0.0,0.0,0.264,3.6,2.0,0.333,0.0,3.6,13.146,1907.2,0.85
MR-100,multi_agent_orchestration,5,request_human_review,pause,0.0,0.0,0.0,5.4,3.0,0.0,3.2,2.2,10.174,1909.4,0.838
